rating,title,text,date
1,,"I am currently facing an unauthorized UPI transaction issue through Groww Pay. I appreciate that the support team has acknowledged my complaint and started an investigation. However, I am still waiting for a final resolution. I hope Groww will complete the investigation quickly and help recover my money. Looking forward to a fair and timely resolution. recovery my amount 21990 in my account as soon as possible thanks 🙏 Don't use the Groww app , this froud application",2026-07-04
4,,good app,2026-07-04
5,,good,2026-07-04
5,,mind-blowing application,2026-07-04
5,,Very good apps,2026-07-04
1,,Hello friends koi bhi Groww aap use mat karo such mai abhi fraud kar raha hai mai khud itne saal se investment kar rahi hun but abhi mujhe dar lag raha hai because mai options trading kar rahi thi total balance mera 28 k tha aur loss kuch 3800 ke aas pass huwa hai but aap ne mujhe 4000 - karne ke baad 21 k dikha raha hai 28k chalo 4500 rs bhi agar lete hai to bhi mera jo amount hai 23500 hona chahiye jo ki nahi hai ye aap chor hai pls ye sab fraud se aap bhi bachho aur download mat kro gatiya a,2026-07-04
5,,nice work for aap,2026-07-04
5,,I love it,2026-07-04
5,,make delivery trade zero fee,2026-07-04
4,,well 👍,2026-07-04
5,,good 👍,2026-07-04
5,,love,2026-07-04
5,,people friendly,2026-07-04
5,,5 ⭐,2026-07-04
5,,don't force for regular mutual fund scheme,2026-07-04
5,,good,2026-07-04
5,,it's good 👍,2026-07-04
5,,Very Smart app,2026-07-04
5,,nice app 👌,2026-07-04
4,,nice,2026-07-04
2,,"In the Groww mutual fund app, the 'Prime' icon and the search icon are touching each other, which has spoiled the UI experience.",2026-07-04
4,,"user experience is very good, and easy to understand",2026-07-04
5,,veri nice,2026-07-04
5,,good,2026-07-04
1,,This App is not helpfull in related with money transaction. Also They charge more than any app. Only they show in internet they charge less. Very Poor service in related to discuss our problem,2026-07-04
5,,nice,2026-07-04
1,,best,2026-07-04
5,,Great,2026-07-04
1,,nice 👍🙂🙂🙂🙂🙂🙂🙂🙂,2026-07-04
5,,good,2026-07-04
5,,nice app,2026-07-04
4,,good,2026-07-04
5,,❤️,2026-07-04
5,,Excellent,2026-07-04
5,,nice one,2026-07-04
5,,good,2026-07-04
5,,trust app,2026-07-04
5,,good,2026-07-04
5,,"This is an excellent app! Groww Trading is really great 🔥 I'm having a very good experience so far. The interface is clean, trading features are running smoothly, and the signals are also very helpful. A big thank you to the entire team for creating such a useful and user-friendly app. Please keep providing the same great support and regular updates. I will definitely recommend it to my friends! 5 Stars ⭐⭐",2026-07-04
5,,good 😊👍,2026-07-04
5,,good app best investment app I seen ever,2026-07-04
5,,good,2026-07-04
5,,ok,2026-07-04
5,,यह एप स्पष्ट जानकारी देता है,2026-07-04
5,,very good 💯,2026-07-04
5,,owsom,2026-07-04
1,,grow nahi gooo app hai per order 67 rupees charge and Sl se pahale nikal jata hai gooo app,2026-07-04
5,,ok,2026-07-04
5,,nice and easy,2026-07-04
5,,good,2026-07-04
5,,good,2026-07-04
5,,user friendly,2026-07-04
5,,good,2026-07-04
5,,good,2026-07-04
5,,user friendly easy to analysis realy super app,2026-07-04
5,,nice,2026-07-04
5,,Best,2026-07-04
5,,good,2026-07-04
5,,good,2026-07-04
5,,good,2026-07-04
5,,"Application so Easy to use, interface is Good, All Details clean and proceed smooth. Thank You Groww.",2026-07-04
5,,good support,2026-07-04
5,,ok,2026-07-04
4,,good,2026-07-04
5,,good,2026-07-04
5,,ok,2026-07-04
5,,good,2026-07-04
5,,very good,2026-07-04
5,,good 👍,2026-07-04
4,,good,2026-07-04
5,,super,2026-07-04
5,,best application for result,2026-07-04
5,,very nice,2026-07-04
5,,very gud,2026-07-04
5,,good 😊,2026-07-04
